PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5HG,"Ashton, Leigh And Wigan PCT",0.53%,5.24%,6.00%,91.73%,89.94%,94.74%,83.26%,92.20%,90.70%,88.15%,83.84%,88.48%,66.09%,39.95%,73.11%,94.66%,43.49%,79.74%,37.97%,46.51%,24.90%
5C2,Barking And Dagenham PCT,0.28%,4.29%,4.70%,89.59%,87.72%,94.60%,71.22%,91.03%,90.14%,82.26%,84.95%,84.11%,51.23%,25.02%,62.53%,89.48%,41.42%,79.13%,31.60%,40.90%,17.18%
5A9,Barnet PCT,0.35%,4.14%,4.56%,90.13%,88.20%,94.22%,73.87%,91.10%,90.31%,83.96%,83.60%,81.40%,55.49%,30.31%,67.21%,92.70%,42.03%,78.60%,37.82%,45.86%,22.80%
5JE,Barnsley PCT,0.41%,4.85%,5.33%,92.95%,90.32%,95.14%,76.95%,93.38%,92.16%,80.69%,84.21%,88.53%,57.50%,35.31%,70.38%,93.52%,42.68%,79.36%,38.23%,47.27%,23.44%
5ET,Bassetlaw PCT,0.38%,4.55%,4.95%,95.13%,92.12%,97.17%,80.64%,94.31%,91.08%,85.95%,86.99%,91.04%,63.53%,20.57%,63.64%,93.83%,43.39%,78.34%,33.26%,41.60%,17.80%
5FL,Bath And North East Somerset PCT,0.44%,3.18%,3.72%,93.74%,90.84%,95.62%,73.95%,94.75%,92.91%,86.04%,85.77%,88.24%,57.29%,28.84%,67.01%,94.78%,37.46%,76.99%,35.23%,43.80%,19.92%
5P2,Bedfordshire PCT,0.40%,3.97%,4.43%,92.30%,90.95%,95.56%,71.37%,92.98%,91.51%,83.03%,86.41%,77.65%,48.68%,21.78%,60.45%,91.63%,37.84%,75.39%,34.33%,40.98%,17.94%
5QG,Berkshire East PCT,0.37%,3.93%,4.37%,92.11%,90.82%,95.25%,82.14%,93.34%,91.77%,81.97%,86.11%,87.95%,64.21%,21.47%,61.65%,90.94%,39.75%,77.15%,35.12%,43.44%,18.56%
5QF,Berkshire West PCT,0.38%,2.91%,3.33%,91.94%,89.30%,94.41%,47.07%,92.04%,90.89%,80.12%,84.69%,84.97%,34.44%,17.63%,57.75%,90.95%,35.22%,76.28%,37.39%,44.56%,18.55%
TAK,Bexley Care Trust,0.37%,4.30%,4.78%,88.86%,88.21%,92.46%,75.75%,88.94%,87.42%,80.26%,79.46%,85.60%,59.72%,29.31%,68.77%,93.28%,34.12%,74.97%,32.98%,42.10%,18.64%
